cell ID,displacement,force
3,31.63369,0.387483
3,32.35669,0.400968
3,33.22269,0.410458
3,33.44329,0.426441
3,33.55289,0.444921
3,34.12169,0.458906
3,34.59889,0.47389
3,36.01319,0.475887
3,38.64189,0.461403
3,39.43119,0.469894
3,40.56709,0.472891
3,41.31409,0.481881
3,41.69529,0.499862
3,42.03979,0.519341
3,42.64269,0.530828
3,43.20479,0.541317
3,43.66049,0.5568
3,43.77239,0.577778
3,44.13579,0.593761
3,44.39199,0.611242
3,44.59119,0.629722
3,44.61209,0.648202
3,44.55679,0.665683
3,44.43169,0.684663
3,44.75609,0.699647
3,45.05499,0.717627
3,45.74449,0.73311
3,46.01759,0.752589
3,46.13329,0.770071
3,45.93269,0.791547
3,46.41519,0.80753
3,46.83019,0.824512
3,47.07039,0.839995
3,46.73629,0.860473
3,46.57919,0.880452
3,46.52499,0.901929
3,46.88859,0.91891
3,47.43279,0.933395
3,47.84619,0.948878
3,48.51279,0.959866
3,48.30469,0.980344
3,48.17819,0.996327
4,0,0.115476
4,1.2524,0.117973
4,2.1952,0.122468
4,3.3441,0.121469
4,4.2163,0.123966
4,5.1339,0.127463
4,5.5476,0.138451
4,6.1414,0.146942
4,6.7694,0.154933
4,7.8387,0.156931
4,8.5136,0.161926
4,9.065,0.168419
4,9.6079,0.179407
4,11.0003,0.181904
4,11.4036,0.193392
4,11.5877,0.20388
4,11.5639,0.218365
4,12.2799,0.224858
4,12.5514,0.235347
4,13.1043,0.24134
4,13.5182,0.251329
4,14.0475,0.262317
4,14.5807,0.273805
4,14.9323,0.286791
4,15.3361,0.297779
4,16.2185,0.301775
4,16.7759,0.310266
4,16.7934,0.32525
4,17.2509,0.332742
4,17.2705,0.345728
4,17.7103,0.356216
4,18.3269,0.367204
4,18.8056,0.378692
4,19.1819,0.388182
4,19.0067,0.404664
4,19.1493,0.419149
4,19.5821,0.430137
4,19.7773,0.443123
4,20.5275,0.449116
4,20.5313,0.466597
4,20.5743,0.484079
4,20.9316,0.495067
4,21.2388,0.504557
4,21.2055,0.518541
4,21.3868,0.532526
4,21.8368,0.547011
4,22.1716,0.561995
4,22.4422,0.572483
4,22.2105,0.587467
4,22.0933,0.602451
4,22.6084,0.611441
4,22.7994,0.627424
4,23.219,0.641409
4,23.4109,0.657392
4,23.8621,0.669878
4,24.3032,0.680867
4,23.7377,0.700845
4,23.8971,0.709836
4,23.743,0.725319
4,23.9433,0.740303
4,24.4422,0.753289
4,24.6901,0.766275
4,24.3507,0.783256
4,24.3213,0.797741
4,24.3194,0.814723
4,24.7408,0.82621
4,24.9057,0.840195
4,25.2269,0.852682
4,25.6669,0.864669
4,25.6183,0.882649
4,25.5434,0.898133
4,25.3676,0.912617
4,25.1244,0.930598
4,25.4494,0.944583
4,25.9083,0.955071
4,25.8292,0.971054
4,26.2157,0.98454
4,26.1238,1.00302
5,0,0.0756685
5,1.782,0.0686761
5,3.491,0.0656793
5,5.813,0.0581874
5,6.638,0.0676772
5,8.125,0.0676772
5,10.456,0.0596857
5,11.715,0.0651798
5,12.787,0.0701745
5,14.303,0.0691756
5,16.868,0.056689
5,18.348,0.0596857
5,19.711,0.063182
5,20.617,0.0706739
5,22.466,0.0666782
5,24.476,0.062183
5,25.195,0.0746696
5,28.058,0.0606847
5,29.231,0.0686761
5,31.108,0.0636814
5,32.203,0.0656793
5,33.839,0.0636814
5,35.222,0.0691756
5,37.436,0.063182
5,39.265,0.0591863
5,39.976,0.069675
5,41.371,0.0726718
5,43.113,0.0706739
5,44.473,0.0731712
5,46.337,0.0706739
5,47.984,0.0711734
5,49.651,0.0691756
5,51.169,0.0691756
5,52.885,0.0691756
5,54.853,0.0661787
5,57.307,0.0561895
5,57.97,0.069675
5,58.898,0.0786653
5,61.565,0.0636814
5,62.879,0.0671776
5,64.803,0.0641809
5,65.551,0.0756685
5,68.045,0.0636814
5,69.632,0.063182
5,70.815,0.0671776
5,72.106,0.0691756
5,73.574,0.0701745
5,76.154,0.0581874
5,77.693,0.0591863
5,78.494,0.0681766
5,80.185,0.0636814
5,81.391,0.0656793
5,83.213,0.0626825
5,85.512,0.0536922
5,86.199,0.0636814
